,rates
AED,3.988447
AFN,97.377117
ALL,115.426091
AMD,430.530446
ANG,1.956918
AOA,547.583302
ARS,204.097253
AUD,1.553602
AWG,1.954589
AZN,1.848414
BAM,1.943138
BBD,2.19238
BDT,116.567394
BGN,1.955654
BHD,0.409386
BIF,2253.362107
BMD,1.085883
BND,1.423151
BOB,7.503334
BRL,5.538326
BSD,1.085808
BTC,4.618688e-05
BTN,88.854508
BWP,13.832254
BYN,2.741295
BYR,21283.297588
BZD,2.188704
CAD,1.454404
CDF,2220.629573
CHF,1.002465
CLF,0.031116
CLP,858.585586
CNY,7.348205
COP,5020.871066
CRC,608.495595
CUC,1.085883
CUP,28.775887
CVE,109.549475
CZK,23.727617
DJF,193.307408
DKK,7.444344
DOP,61.490374
DZD,147.167566
EGP,32.878461
ERN,16.288238
ETB,58.291269
EUR,1.0
FJD,2.360713
FKP,0.885794
GBP,0.89443
GEL,2.856159
GGP,0.885794
GHS,13.301421
GIP,0.885794
GMD,66.238763
GNF,9347.943663
GTQ,8.523727
GYD,229.113539
HKD,8.520122
HNL,26.769157
HRK,7.647
HTG,162.837423
HUF,388.191906
IDR,16288.23795
ILS,3.713148
IMP,0.885794
INR,89.146068
IQD,1584.81979
IRR,45824.242408
ISK,153.489218
JEP,0.885794
JMD,167.765642
JOD,0.77076
JPY,141.405792
KES,135.463675
KGS,93.657395
KHR,4462.894337
KMF,490.058628
KPW,977.267613
KRW,1346.494104
KWD,0.331227
KYD,0.904919
KZT,497.361471
LAK,18287.047102
LBP,16298.769503
LKR,396.33997
LRD,170.429619
LSL,18.55766
LTL,3.206329
LVL,0.65684
LYD,5.137345
MAD,11.034925
MDL,20.380981
MGA,4637.25167
MKD,61.215172
MMK,2280.311783
MNT,3797.836609
MOP,8.77477
MRO,387.659876
MUR,49.300713
MVR,16.668535
MWK,1114.499617
MXN,20.475942
MYR,4.623712
MZN,69.311606
NAD,18.557663
NGN,500.092158
NIO,39.675856
NOK,11.003454
NPR,142.167015
NZD,1.696469
OMR,0.418038
PAB,1.085808
PEN,4.151186
PGK,3.826928
PHP,58.529606
PKR,298.883667
PLN,4.703164
PYG,7935.524691
QAR,3.953714
RON,4.902215
RSD,117.389315
RUB,76.860974
RWF,1175.541917
SAR,4.074802
SBD,8.901275
SCR,15.258731
SDG,634.699635
SEK,11.370694
SGD,1.429956
SHP,1.495694
SLE,21.5861
SLL,21120.415137
SOS,617.317239
SRD,35.056651
STD,22475.575983
SVC,9.500944
SYP,2728.319872
SZL,18.618692
THB,36.069755
TJS,11.200345
TMT,3.811448
TND,3.301625
TOP,2.510506
TRY,20.440326
TTD,7.37
TWD,32.411965
TZS,2539.879324
UAH,40.104159
UGX,4000.172768
USD,1.085883
UYU,42.037431
UZS,12288.378139
VEF,2433384.214236
VES,24.597899
VND,25463.945329
VUV,124.852564
WST,2.895223
XAF,651.721272
XAG,0.047538
XAU,0.000576
XCD,2.934652
XDR,0.800001
XOF,651.700402
XPF,119.044977
YER,271.908885
ZAR,18.796195
ZMK,9774.246564
ZMW,20.744705
ZWL,349.653732
